Time(s);RTF
110.30;0.99
110.40;1.01
110.50;0.98
110.60;1.02
110.70;0.99
110.80;0.99
110.90;1.01
111.00;1.02
111.10;1.00
111.20;1.00
111.30;0.99
111.40;1.00
111.50;1.00
111.60;1.01
111.70;1.01
111.80;1.01
111.90;0.98
112.00;0.99
112.10;1.02
112.20;0.99
112.30;1.02
112.40;0.99
112.50;1.02
112.60;0.99
112.70;1.01
112.80;0.99
112.90;0.99
113.00;0.99
113.10;1.01
113.20;1.02
113.30;1.01
113.40;0.97
113.50;1.04
113.60;0.99
113.70;0.98
113.80;1.00
113.90;1.01
114.00;0.99
114.10;1.01
114.20;0.99
114.30;1.00
114.40;1.00
114.50;1.01
114.60;1.00
114.70;1.02
114.80;0.98
114.90;1.00
115.00;0.99
115.10;1.00
115.20;1.01
115.30;1.01
115.40;1.00
115.50;0.99
115.60;1.01
115.70;0.99
115.80;1.01
115.90;1.01
116.00;0.99
116.10;1.02
116.20;0.98
116.30;0.99
116.40;1.02
116.50;1.00
116.60;0.99
116.70;1.02
116.80;1.01
116.90;1.00
117.00;1.00
117.10;0.99
117.20;1.01
117.30;0.99
117.40;1.01
117.50;1.00
117.60;1.00
117.70;0.99
117.80;1.00
117.90;0.99
118.00;1.01
118.10;1.01
118.20;1.00
118.30;1.00
118.40;1.00
118.50;1.00
118.60;1.00
118.70;1.00
118.80;0.96
118.90;1.04
119.00;0.99
119.10;0.98
119.20;1.01
119.30;1.02
119.40;0.99
119.50;1.01
119.60;1.00
119.70;1.02
119.80;0.99
119.90;0.99
